"name","position","company","image","bio","venue","day","time","topic","topic_summary"
"Supradeep Chikaballapur Manjunath","Head of Product Business","Data Driven X: A Siemens AG Corporate Venture","https://eco-cdn.iqpc.com/eco/images/speakers/R6ehp8qOGJBYNWpbfFSVzH3qCghoBBq8TAa1RXvP.png","","Pre-Conference Focus Days (Workshops and Focus Days Running Concurrently. Choose THREE workshops or ONE focus day to attend)","2024-01-29","10:40:00","Data Driven X - Unravel New Business Models by Connecting Financial and OT Worlds","Data Driven X connects two ecosystems, the financing, and the manufacturing industry. The Data Driven X platform transmits industrial data directly from the production machine to insurers and financial institutions. By connecting the dots, insurances can unravel new business models to become future-proof and complement their portfolio with automated underwriting, faster claims processes, predictive maintenance, and individualized premiums."
"Chris Dando","Group CEO","Reinvigoration","https://eco-cdn.iqpc.com/eco/images/speakers/I2KFLhUq0G7D2txOvP7K8pDJzUQcIyRGyuTNSLAU.png","","Main Conference Day Two","2024-01-30","14:35:00","The formula for Operational Excellence success: learnings from the successes and failures of over 200 deployments","Operational Excellence attempts are well known for providing hit or miss results, but what truly lies beneath this? When we took a step back and studied hundreds of deployments that have been delivered across most industries globally, we were surprised at what jumped out at us. A number of critical themes emerged that when used together, greatly enhanced the successful deployment of Operational Excellence and where one (or more) was missing, the results were far less impressive. So what is this formula for success? Join this session to find out."
"Joseph LaCount","Corporate Continuous Improvement Leader, Global Operations","Cargill","https://eco-cdn.iqpc.com/eco/images/speakers/8UHXximdpI1LEzTg2BARXgnyxcuc3wzv7HUOg8fv.png","Joseph R. LaCount specializes in Business Process Improvement.  For over 38 years he has led quality engineering, quality management and Business process improvement efforts in the Agriculture, Aerospace & Defense, Automotive, Printing, Retail, Education, Food & Beverage, Service and Healthcare Industries.      Some of the Organizations Joe has had the privilege to work with include: Honeywell, Textron, Alexandria Industries, Target, General Electric, R.R. Donnelley, St. Jude Medical and Cargill.  He also ran his own consulting business, providing on-site Quality and Lean Six Sigma consulting and training services for a variety of Industries and Organizations.    Joe has hands-on experience working with an Organization’s entire value chain.  These efforts included improving Manufacturing, Marketing, Finance, HR, IT, Customer/Donor Relations, Recruitment, On-Boarding, Customer-facing processes as well as improving product/service quality and delivery.     Joe joined Cargill in 2009 as a Master Black Belt in the Tartan Process Improvement Group and has held various continuous improvement roles in Cargill.  Joe’s current role is Corporate Continuous Improvement Leader, working in the Global Operations group.","Pre-Conference Workshops, Focus Days & Main Conference Day One","2024-01-29","11:40:00","C2: Rapid Scaling of Competency Learning to Inspire Continuous Improvement for Everyone (“CI4E”) at Cargill","Over the past year, Cargill has expanded Lean Six Sigma structured problem-solving accessibility, increased usage, and standardized learning processes throughout its global enterprise. Capability building offerings today range from White Belt to Master Black Belt with blended learning classes also available in English, Mandarin, Portuguese, and Spanish. The focus now shifts to implementing a closed loop system that reduces end-to-end deployment variation from defining an initial project and completing training to enabling and sustaining a population of problem solvers and a global team of enduring practitioners.
In this session, you will learn to:
• Define your deployment process and identify its stakeholders
• Discover the variation in and between deployment sub-processes
• Use data and listening posts to reveal what’s working and what’s not
• Rely upon governance to guide cycles of refinement and improvement
• Build Competency-based learning paths as a complement to Belt-level training
• Understand what the Knowing – Doing Gap is and deploying a strategy to close it"
"Ananth Krishnan","Director - Tech To Value","Land O’Lakes","https://eco-cdn.iqpc.com/eco/images/speakers/laDxL6TnEwYkmENaAOdJ6sPlWLrKK7QrjMssdaD7.png","","Pre-Conference Focus Days (Workshops and Focus Days Running Concurrently. Choose THREE workshops or ONE focus day to attend)","2024-01-29","10:40:00","Panel Discussion: Best Practices in Nurturing Diversity of Thought - Why and How?","It is well-proven that diverse and inclusive companies drive better business performance. This panel will shed light on how diversity of thought can generate innovation, facilitate collaboration and bring enterprise transformation and organizational culture to the next level.
·       Discuss the value and impact diversity of thought can have on organizational culture and transformation
·       Going beyond wishful thinking when developing DEI programmes
·       How can you touch everybody within a large organization and create awareness from the bottom up?
·       Foster equality, belonging and a purpose-led culture through a diversified workforce. Why women leaders are best placed to drive these changes"
"Vinaykumar Mummigatti","Executive Vice President, Strategy & Customer Transformation","SKAN.AI","https://eco-cdn.iqpc.com/eco/images/speakers/RtvKgKPi2pj1UVtNWFNU0UOptn1rgD00KiYOjoZp.png","","Main Conference Day Two","2024-01-30","09:15:00","AI-Powered Process Revolution","Delve into AI's transformative impact on operational excellence and digital transformation. Industry leaders from Skan and Dell will address challenges in AI adoption and process visibility while sharing how Process Intelligence is used to uncover the invisible enterprise and identify opportunities for continuous process optimization and compliance, offering a data-driven discovery solution for automation and transformation projects. Get a practical perspective through a detailed case study from Dell, demonstrating the impactful application of Process Intelligence in a highly innovative enterprise. The session concludes with a discussion on future AI trends and an interactive Q&A.
Challenges in AI and Digital Transformation
The value of 360° process visualization for strategic business transformation
Dell's Innovation Journey
Future Trends in AI and Process Excellence
Interactive Q&A"
"Adelaido Godinez, III","Process Improvement Director","JP Morgan Chase","https://eco-cdn.iqpc.com/eco/images/speakers/EEPX477WvlmXbIZjQhSQ4EkmLAg9mfF81rrq19XL.png","My team currently drives Operational Excellence by empowering employees to solve problems when they see them.  I am a 31 year veteran, served in Iraq, Afghanistan, S. Korea, Germany, Bolivia, and host of other neat places.  I try to take the job seriously, but not myself.","Pre-Conference Focus Days (Workshops and Focus Days Running Concurrently. Choose THREE workshops or ONE focus day to attend)","2024-01-29","10:00:00","JP Morgan Chase Case Study: Integrating Data-Driven Decision-Making Capabilities in the Organization","This session will showcase how JP Morgan Chase is using data and analytics to target operational inefficiencies through process mining, modelling, and simulation. You will also hear how they are operationalizing these capabilities across the organization.
·       Developing data-driven tools to identify and address pockets of opportunity
·       Building four pillars of operations research capabilities: discrete event simulation, task mining, process modelling and process mining
·       Sharing examples where process mining tools are leveraged to create business impact
·       Operationalizing data-driven decision-making across the organization: creating a common language for problem-solving"
"Bhavin Manjee","Partner and Member of the Board","Simon-Kucher & Partners","https://eco-cdn.iqpc.com/eco/images/speakers/ONjDAD3q1HTM6jwrim4IiszLKi1qujvum7J2pi6T.png","Bhavin is a Partner in Simon-Kucher’s North American B2B practice based in New York City. For the past 18 years, Bhavin has supported clients in boosting their top line growth by developing and implementing growth strategies, value-oriented pricing concepts, and designing programs that optimize sales effectiveness.    Bhavin has deep expertise in M&A growth strategy, sales force effectiveness, pricing strategy, and process optimization.  Bhavin has successfully led 15 pre-deal merger integration projects. He has guided management teams through large, complex scale transformations.  He has served a broad base of B2B clients and understands the complex environment within which B2B companies and intermediaries transact.   He has coached management teams of leading companies in the space to transform their businesses and increase their profitability by formulating business unit strategy, simplifying product portfolios, optimizing channels, restructuring list prices and optimizing discounts across project quoted work, and buying programs.  He also has experience in digital topics, including the application of recurring revenue models, and two-sided marketplaces.    Prior to joining Simon-Kucher, Bhavin worked at a consultancy, where his primary focus was on pre-deal and integration planning for Mergers and Acquisitions.  He is a frequent guest lecturer on pricing and marketing topics for full time MBA programs at Harvard Business School and Columbia Business School.  He graduated with degrees in Economics and Finance from the University of Georgia in Athens, Georgia (USA).","Pre-Conference Workshops, Focus Days & Main Conference Day One","2024-01-29","15:20:00","Supercharging the Benefits of Transformations by Enhancing Value Capture","Change is constant: customer expectations evolve, new competitors enter the scene, international markets expand and your company’s strategy and products advance. All of this continues against the backdrop of an increasingly complex business environment.
In these times, the most resilient businesses have sustained customer relationships that are anchored on a deep understanding of customer needs, and which are aligned with the business’s value proposition. The transformative companies have not only adapted tactics to be more agile in navigating unpredictable shocks to the market, but also protected their top line by fundamentally re-shaping their revenue models to be more resilient to these shocks.
In this session, we will explore the revenue side of transformation, specifically looking at how leading companies improve value capture in conjunction with innovative delivery models, data driven insights, digitally enhanced products, or customer experience investments to improve transformation outcomes."
"Hollimarie Montijo","Head of Process & Tools Americas","Alstom","https://eco-cdn.iqpc.com/eco/images/speakers/ZsAJkz9tCl9DHhSpS8sZDE14ggRikp0Ju5ESfFZ9.png","Hollimarie Montijo, “Holli”,  PMP, 6σ, was raised in Brevard County, Florida. She received her bachelor’s degree from Saint Leo University, majoring in Political Science with a minor in Economics.  Mrs. Montijo continued her education after 5 years of general business experience at Everest University in Melbourne, Florida, where she earned her Master of Business Administration with a concentration in Organizational Behavior.   Mrs. Montijo started her journey in Continuous Improvement and Lean after joining Raytheon, in Dulles, Virginia in 2008, where she was selected for a 2-year leadership program to become a Six Sigma Expert/Blackbelt.  After moving back to Florida in 2014, she spent the following 5 years focused on project management before returning back to Continuous Improvement and OPEX work in 2019, as the Global Performance Manger for Alstom Transportation in Melbourne, Florida.  Today, Mrs. Montijo is still with Alstom as the Head of Process and Tools for Americas where she drives Business Process Improvement, Simplification, Execution Excellence  and Problem Solving for the region and as part of a global organization.  In addition to her professional endeavors, Mrs. Montijo contributes her time as a Board Director for Launch Credit Union; Regional Committee Chair for Alstom Women of Excellence; as well as other Diversity, Equity, and Inclusion initiatives that promote personal development and  networking.  Mrs. Montijo is a wife and mother of 3 boys, ages 19, 12, and 9.  She enjoys long distance running and travelling.  Mrs. Montijo’s favorite part of her role is engaging people to solve problems, inspiring change, and the continuous drive to “do more with less”. She believes that there is always an opportunity to grow personally and professionally no matter where you are in life and her moto is: “Do Great Things!”","Pre-Conference Focus Days (Workshops and Focus Days Running Concurrently. Choose THREE workshops or ONE focus day to attend)","2024-01-29","11:40:00","A Deep Dialogue Exploring Intersectionality, Leadership, and How to Bring Yourself to the Table","Are you often the only woman in the meeting? Are you a women leader in a tech/engineering company? Do you notice that there’s a certain resemblance in your leadership team? If you are answering “yes” to these questions, you have found your tribe and will gain great insights in this session, which is designed to explore intersectionality, DEI and leadership. In this session, Hollimarie is looking to share some of her personal experiences and open a dialogue on how to recognize and address these key changes and challenges. She will also explore ways you can stay challenged and not dilute/trade your personal brand to get a seat at the table.
·       Why the traditional authority/command led leadership no longer works today
·       How is intersectionality addressing the DEI and leadership challenge?
·       How do we keep our individuality even when it does not seem to fit the traditional corporate style?"
"Cristian Matei","CEO","Advanced Thinking","https://eco-cdn.iqpc.com/eco/images/speakers/y8296XrzLvyzJ4j3uZwEjBdrpiqRkFcvCFlQs3gK.png","Cristian serves as Executive Advisor, Consultant and Coach in Leadership and Management, having extensive experience in working on all continents with Executive Boards requiring expert assistance in improving organizational performances. Cristian is a former Global Head Learning & Development and Global Master Black Belt at GENERAL ELECTRIC, former Global Head Operational Quality & Continuous Improvement and Global Master Black Belt at ALSTOM and former Business Process Re-engineering Coordinator at ABB.In 2011 he was awarded the “Operational Excellence European Community Contributor of the Year” at London OPEX Process Excellence Awards. In 2019 Cristian won with Apa Nova Veolia the OPEX Process Excellence Award for the “Best Business Transformation Project in the World” and in 2020 co-authored “DARE! – behind the scenes of the best Business Transformation Project in the World” which became Amazon #1 Best Seller for Business Process Reengineering, Change Management and Project Management. In 2022 Cristian was awarded the ""Operational Excellence Global Community Contributor of the Year"" at the Miami OPEX Week World Business Transformation Summit.","","","","",""
"Mukesh Agrawal","Transformation and Innovation Executive","GE","https://eco-cdn.iqpc.com/eco/images/speakers/F3ssnXlyj5FbLa4A6dmzp8A57A71c1edPH2e0Dwf.png","Mukesh Agrawal is the Lean Transformation Leader for GE Core Technology and Cyber Defense group. In this role, he leads business transformations for Core Technology and Risks mitigation operations responding to industry disruptive cyber defense technology leveraging lean, design thinking, and innovations. Mukesh has over 25+ years of industry experience in leading business, technology, and management consulting functions across multiple verticals.","Main Conference Day Three & Post-Conference Masterclasses","2024-01-31","14:00:00","Problem Solving with Human Cantered Design","Defining problems in the traditional way often leads to obvious, conventional solutions. Problem solving with human-centered design framework allows us to see a problem from the eyes of customer and feel same pain what they may be going through. This allows us to design solutions that delight customers. It places the needs and preferences of the users at the forefront and encourages a collaborative and iterative process.
Design thinking emphasizes collaboration, and a willingness to embrace ambiguity. This approach drives innovation by keeping the user at the center of the problem-solving process and by fostering continuous improvement through iteration. We will discuss:
·       Compare and contrast Lean, Six Sigma, Agile and Design Thinking frameworks.
·       Combining Lean, Six Sigma, Agile and Design thinking to develop an innovation framework to drive breakthrough improvement using disruptive thinking.
·       Showcasing case studies where EDIPT framework can be leveraged to improve process, product/service and business model and strategy design."
"Adil Khan","Director of Global Finance – Operational Excellence","BD","https://eco-cdn.iqpc.com/eco/images/speakers/ZwDiTgE3Jpjdnd9FZRwSeL0ZfULh0Yg0ExlC6a38.png","Adil is a Global Finance Leader for Becton Dickinson “BD”, a worldwide leader in Medical Technologies located in Franklin Lakes, NJ. Adil is a highly successful professional with demonstrated accomplishments in delivering cutting edge technology solutions to Business and Operations that deliver significant OIBT benefits.     Since 2011, Adil has been instrumental in positively impacting BD’s Global Functions, Operations, and Commercial Segments. He has designed, implemented, and audited complex Business and Financial Operating Models which have an ongoing material impact to BD's EPS/ETR. As a result of Adil's cross-functional expertise, and in-depth understanding of cross-departmental dependencies, he is also instrumental in assessing Functional and Commercial changes that impact these models. Adil conducts an annual assessment of these Business and Financial Operating Models for effectiveness, crafts annual responses to EY as SOX owner, and works with outside counsel to craft the defense against taxing authorities inquiries, given these models impact on BD's Global Functions and Worldwide Commercial Segments.","Main Conference Day Two","2024-01-30","11:00:00","IDG W: Finance Transformation Leaders Working Group",""
"April Mills","Chief Change Officer, Intel Flex","Intel Corporation","https://eco-cdn.iqpc.com/eco/images/speakers/yajBRYlzP4h7u10bSYJeYHS5tuCt5MYA4j1p1eN1.png","April K. Mills, an engineer-turned-change-evangelist, is an energizing global voice on change agency, change engagement, and accelerating sustainable results.  She is the author of two books: Everyone is a Change Agent: A Guide to the Change Agent Essentials and Change Tactics: 50 Ways Change Agents Boldly Escape the Status Quo. April is the Chief Change Officer for Intel Flex, an internal consultancy in Intel Corporation. April is a former civilian nuclear engineer for the U.S. Navy and founded her own consultancy, Engine-for-Change LLC.  All her book proceeds go toward April’s family project to build a rural retreat center for families with children with special needs in Washington state.","Main Conference Day Two","2024-01-30","11:10:00","IDG U: Change Mindset and Behaviors to Make your Transformation Stick at Every Level",""
"David Hadd","Intelligent Automation","Process Intelligent Leader","https://eco-cdn.iqpc.com/eco/images/speakers/TnUvAhsVqejrXd9nxBbncy53xMUmxhnaUYkcLd0g.png","","","","","",""
"Kristin Saunders","SVP, Tech Business Service Director – Technology for the COO","Wells Fargo","https://eco-cdn.iqpc.com/eco/images/speakers/wv3BsKaT6clj3N614NPwHqftobd0URnDmHL3m31u.png","Kristin Saunders leads Business Services and Analytics & Insights for Technology for the COO, a team of 4500 technologists. Kristin has been with Wells Fargo for 8 years, moving from Wholesale to Marketing to Technology. Her roles have included a variety of functions, including communications, design thinking, analytics, and initiative enablement. Before Wells Fargo, Kristin worked in advertising as a copywriter and account manager.      Kristin lives in Charlotte, North Carolina with her husband, Will, and two young children, Tessa and Liam. She is also an avid reader with a goal of completing 52 books a year. She spends her limited spare time with her young ones in carpool lanes or making snacks.","Pre-Conference Focus Days (Workshops and Focus Days Running Concurrently. Choose THREE workshops or ONE focus day to attend)","2024-01-29","09:00:00","Opening Panel: AI for Financial Services: Unlocking Opportunities, Transforming Operations, and Navigating Risks","Embrace the AI Revolution: Join us as industry leaders explore the powerful impact of Artificial Intelligence on the financial services landscape. Gain valuable insights into their companies’ strategies, perspectives, and plans for harnessing AI technologies to transform their organizations. Discover how AI is changing customer interactions, optimizing operations, and creating new opportunities.
Expand your imagination to visualize how AI can enhance customer experience, optimize operations, and improve risk management, among many things.
Discover how business transformation projects involving AI differ from those with other technologies
Explore inherent risks that are uniquely associated with AI transformation projects."
"Biswajit Dasgupta","SVP, Head of Operational Excellence and Integration","TD Bank","https://eco-cdn.iqpc.com/eco/images/speakers/IyBlX9hSOdL0k2fSStOBusi5I61mKXQ8vmhhaBvk.png","","Chief Transformation Officer Summit (Invitation Only)","2024-01-30","08:50:00","Keynote Panel: Navigating Game-Changing Trends and Disruptive Forces and Integrating them In Your Transformation Strategies","High inflation economy, rising risks in global expansion, breakneck speed of advancements in AI…Transformation officers need to take into consideration many disruptive yet game changing forces into consideration when mapping out their transformation blueprint. No one can predict the future, yet the transformation leaders are challenged to respond to change quicker than others and weave these considerations into their strategy and transformation decision making. This keynote panel will bring together transformation officers from key industries to examine these trends and share insights on how they are responding to them.
·       Examining the key trends impacting your transformation decisions
·       What are the key considerations and steps needed to build these decisions into your transformation strategy?
·       How can you rebuild your target operating model based on the new opportunities and risk factors?
·       Sharing disruptive strategies that have been implemented to drive new business models and breakthrough change"
"Sakshi Singhal","Senior Director, Digital Transformation, Client Solutions Group, Support Services","Dell EMC","https://eco-cdn.iqpc.com/eco/images/speakers/LsR97ZwqmLR0YhBcWZzmtgXYZ2Fxb17HsJWkycSc.png","","","","","",""
